"年月","指数类别","组别类别","基数年","指数","权数"
"201406","CCPI","10","Index : October 2014 - September 2015 = 100",92.4,0.24
"201406","CCPI","9","Index : October 2014 - September 2015 = 100",96.3,0.06
"201406","CCPI","8","Index : October 2014 - September 2015 = 100",99,1.46
"201406","CCPI","7","Index : October 2014 - September 2015 = 100",99.9,0.43
"201406","CCPI","99","Index : October 2014 - September 2015 = 100",96.9,100
"201406","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201406","CCPI","4","Index : October 2014 - September 2015 = 100",98.1,1.18
"201406","CCPI","3","Index : October 2014 - September 2015 = 100",97.4,1.76
"201406","CCPI","2","Index : October 2014 - September 2015 = 100",114.1,0.55
"201406","CCPI","1","Index : October 2014 - September 2015 = 100",103.1,0.4
"201406","CCPI","6","Index : October 2014 - September 2015 = 100",99.8,0.41
"201407","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201407","CCPI","6","Index : October 2014 - September 2015 = 100",99.9,0.41
"201407","CCPI","7","Index : October 2014 - September 2015 = 100",99.9,0.43
"201407","CCPI","8","Index : October 2014 - September 2015 = 100",99,1.46
"201407","CCPI","9","Index : October 2014 - September 2015 = 100",99.3,0.06
"201407","CCPI","10","Index : October 2014 - September 2015 = 100",92.8,0.24
"201407","CCPI","11","Index : October 2014 - September 2015 = 100",106.9,1.48
"201407","CCPI","12","Index : October 2014 - September 2015 = 100",101.4,7.98
"201407","CCPI","99","Index : October 2014 - September 2015 = 100",97.9,100
"201407","CCPI","3","Index : October 2014 - September 2015 = 100",97.8,1.76
"201407","CCPI","4","Index : October 2014 - September 2015 = 100",100,1.18
"201407","CCPI","1","Index : October 2014 - September 2015 = 100",102.5,0.4
"201407","CCPI","2","Index : October 2014 - September 2015 = 100",114.3,0.55
"201408","CCPI","99","Index : October 2014 - September 2015 = 100",95.6,100
"201408","CCPI","12","Index : October 2014 - September 2015 = 100",101.4,7.98
"201408","CCPI","11","Index : October 2014 - September 2015 = 100",107,1.48
"201408","CCPI","9","Index : October 2014 - September 2015 = 100",99.4,0.06
"201408","CCPI","10","Index : October 2014 - September 2015 = 100",92.7,0.24
"201408","CCPI","8","Index : October 2014 - September 2015 = 100",99,1.46
"201408","CCPI","7","Index : October 2014 - September 2015 = 100",99.9,0.43
"201408","CCPI","6","Index : October 2014 - September 2015 = 100",100.2,0.41
"201408","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201408","CCPI","4","Index : October 2014 - September 2015 = 100",100.4,1.18
"201408","CCPI","3","Index : October 2014 - September 2015 = 100",97.9,1.76
"201408","CCPI","2","Index : October 2014 - September 2015 = 100",111.4,0.55
"201408","CCPI","1","Index : October 2014 - September 2015 = 100",102.7,0.4
"201409","CCPI","3","Index : October 2014 - September 2015 = 100",97.9,1.76
"201409","CCPI","2","Index : October 2014 - September 2015 = 100",110.5,0.55
"201409","CCPI","1","Index : October 2014 - September 2015 = 100",101.6,0.4
"201409","CCPI","4","Index : October 2014 - September 2015 = 100",100.4,1.18
"201409","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201409","CCPI","6","Index : October 2014 - September 2015 = 100",100.5,0.41
"201409","CCPI","99","Index : October 2014 - September 2015 = 100",98.5,100
"201409","CCPI","8","Index : October 2014 - September 2015 = 100",98.7,1.46
"201409","CCPI","9","Index : October 2014 - September 2015 = 100",99.6,0.06
"201409","CCPI","10","Index : October 2014 - September 2015 = 100",99.5,0.24
"201409","CCPI","11","Index : October 2014 - September 2015 = 100",104.5,1.48
"201409","CCPI","12","Index : October 2014 - September 2015 = 100",101,7.98
"201409","CCPI","7","Index : October 2014 - September 2015 = 100",99.9,0.43
"201410","CCPI","12","Index : October 2014 - September 2015 = 100",100.7,7.98
"201410","CCPI","11","Index : October 2014 - September 2015 = 100",104.2,1.48
"201410","CCPI","99","Index : October 2014 - September 2015 = 100",99.8,100
"201410","CCPI","10","Index : October 2014 - September 2015 = 100",99.5,0.24
"201410","CCPI","9","Index : October 2014 - September 2015 = 100",99.8,0.06
"201410","CCPI","8","Index : October 2014 - September 2015 = 100",98.7,1.46
"201410","CCPI","7","Index : October 2014 - September 2015 = 100",99.8,0.43
"201410","CCPI","6","Index : October 2014 - September 2015 = 100",101,0.41
"201410","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201410","CCPI","4","Index : October 2014 - September 2015 = 100",100.3,1.18
"201410","CCPI","3","Index : October 2014 - September 2015 = 100",98,1.76
"201410","CCPI","2","Index : October 2014 - September 2015 = 100",108.8,0.55
"201410","CCPI","1","Index : October 2014 - September 2015 = 100",99.2,0.4
"201411","CCPI","12","Index : October 2014 - September 2015 = 100",100.4,7.98
"201411","CCPI","1","Index : October 2014 - September 2015 = 100",99.9,0.4
"201411","CCPI","99","Index : October 2014 - September 2015 = 100",100,100
"201411","CCPI","2","Index : October 2014 - September 2015 = 100",106.3,0.55
"201411","CCPI","3","Index : October 2014 - September 2015 = 100",98,1.76
"201411","CCPI","4","Index : October 2014 - September 2015 = 100",100.3,1.18
"201411","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201411","CCPI","6","Index : October 2014 - September 2015 = 100",101.2,0.41
"201411","CCPI","7","Index : October 2014 - September 2015 = 100",99.8,0.43
"201411","CCPI","8","Index : October 2014 - September 2015 = 100",98.7,1.46
"201411","CCPI","9","Index : October 2014 - September 2015 = 100",98.8,0.06
"201411","CCPI","10","Index : October 2014 - September 2015 = 100",99.5,0.24
"201411","CCPI","11","Index : October 2014 - September 2015 = 100",103.1,1.48
"201412","CCPI","12","Index : October 2014 - September 2015 = 100",100.4,7.98
"201412","CCPI","99","Index : October 2014 - September 2015 = 100",100.3,100
"201412","CCPI","11","Index : October 2014 - September 2015 = 100",105.3,1.48
"201412","CCPI","10","Index : October 2014 - September 2015 = 100",99.5,0.24
"201412","CCPI","9","Index : October 2014 - September 2015 = 100",98.8,0.06
"201412","CCPI","8","Index : October 2014 - September 2015 = 100",98.7,1.46
"201412","CCPI","1","Index : October 2014 - September 2015 = 100",98.6,0.4
