"关卡","年月","行驶方向","车辆种类","车流量"
"STK","201804","OB","36",17069
"STK","201805","IB","1",17990
"STK","201805","OB","1",18326
"STK","201805","IB","23",4569
"STK","201805","OB","23",4588
"STK","201805","IB","36",11562
"STK","201805","OB","36",18014
"STK","201806","IB","1",18078
"STK","201806","OB","1",18047
"STK","201806","IB","23",4392
"STK","201806","OB","23",4452
"STK","201806","IB","36",9915
"STK","201806","OB","36",15267
"STK","201807","IB","1",17468
"STK","201807","OB","1",17790
"STK","201807","IB","23",4228
"STK","201807","OB","23",4284
"STK","201807","IB","36",9985
"STK","201807","OB","36",15287
"STK","201808","OB","23",4148
"STK","201808","IB","36",10424
"STK","201808","IB","23",4096
"STK","201808","OB","1",18368
"STK","201808","IB","1",18364
"STK","201808","OB","36",16114
"STK","201809","OB","1",17041
"STK","201809","IB","1",17070
"STK","201809","IB","23",4207
"STK","201809","OB","36",16745
"STK","201809","IB","36",9631
"STK","201809","OB","23",4229
"STK","201810","IB","36",10557
"STK","201810","OB","23",4718
"STK","201810","IB","1",18260
"STK","201810","OB","1",18538
"STK","201810","IB","23",4758
"STK","201810","OB","36",16067
"STK","201811","OB","23",4004
"STK","201811","IB","36",10417
"STK","201811","OB","36",15487
"STK","201811","IB","1",18593
"STK","201811","OB","1",18546
"STK","201811","IB","23",3955
"STK","201812","IB","1",17999
"STK","201812","OB","1",17892
"STK","201812","OB","36",14297
"STK","201812","OB","23",3975
"STK","201812","IB","36",9467
"STK","201812","IB","23",3945
"STK","201901","IB","1",19545
"STK","201901","OB","1",19637
"STK","201901","IB","23",4028
"STK","201901","OB","23",4070
"STK","201901","IB","36",10483
"STK","201901","OB","36",16155
"STK","201902","OB","36",6483
"STK","201902","IB","36",4953
"STK","201902","OB","23",3587
"STK","201902","IB","23",3530
"STK","201902","IB","1",13277
"STK","201902","OB","1",13441
"STK","201903","IB","36",9896
"STK","201903","OB","23",4107
"STK","201903","IB","23",4112
"STK","201903","OB","1",18138
"STK","201903","IB","1",18239
"STK","201903","OB","36",14126
"STK","201904","OB","36",14175
"STK","201904","IB","1",16521
"STK","201904","OB","1",16735
"STK","201904","IB","23",3924
"STK","201904","OB","23",3976
"STK","201904","IB","36",9643
"STK","201905","IB","1",17372
"STK","201905","OB","1",17506
"STK","201905","IB","23",4052
"STK","201905","OB","23",4061
"STK","201905","IB","36",9869
"STK","201905","OB","36",15261
"STK","201906","IB","1",16873
"STK","201906","OB","1",16991
"STK","201906","IB","23",3923
"STK","201906","OB","23",3931
"STK","201906","IB","36",9250
"STK","201906","OB","36",15046
"STK","201907","OB","36",15932
"STK","201907","IB","36",10087
"STK","201907","OB","23",3667
"STK","201907","IB","23",3611
"STK","201907","OB","1",16979
"STK","201907","IB","1",16676
"STK","201908","IB","1",16671
"STK","201908","IB","23",3395
"STK","201908","OB","23",3420
"STK","201908","IB","36",9922
"STK","201908","OB","36",15628
"STK","201908","OB","1",16643
"STK","201909","OB","36",15273
"STK","201909","IB","23",3843
"STK","201909","IB","1",16909
"STK","201909","OB","1",17105
"STK","201909","OB","23",3824
"STK","201909","IB","36",10000
"STK","201910","IB","1",17547
"STK","201910","IB","36",9877
"STK","201910","OB","36",14582
"STK","201910","OB","23",4042
"STK","201910","IB","23",4069
"STK","201910","OB","1",17843
"STK","201911","IB","1",17383
"STK","201911","IB","23",3653
"STK","201911","OB","1",17376
"STK","201911","OB","23",3650
"STK","201911","IB","36",10346
"STK","201911","OB","36",14982
"STK","201912","IB","1",17656
"STK","201912","OB","1",17808
"STK","201912","IB","23",3731
"STK","201912","OB","23",3761
"STK","201912","IB","36",10381
"STK","201912","OB","36",14714
"STK","202001","OB","1",15636
"STK","202001","IB","23",3562
"STK","202001","OB","23",3575
"STK","202001","IB","36",7068
"STK","202001","OB","36",10668
"STK","202001","IB","1",15793
"STK","202002","IB","1",0
"STK","202002","OB","1",0
"STK","202002","IB","23",0
"STK","202002","OB","36",5567
"STK","202002","IB","36",4327
"STK","202002","OB","23",0
"STK","202003","OB","23",0
"STK","202003","IB","36",8989
"STK","202003","IB","23",0
"STK","202003","OB","1",0
"STK","202003","IB","1",0
"STK","202003","OB","36",13202
"STK","202004","OB","36",18625
"STK","202004","IB","1",0
"STK","202004","OB","1",0
"STK","202004","IB","23",0
"STK","202004","OB","23",0
"STK","202004","IB","36",10002
"STK","202005","IB","36",10589
"STK","202005","OB","36",18542
"STK","202005","OB","23",0
"STK","202005","IB","23",0
"STK","202005","OB","1",0
"STK","202005","IB","1",0
"STK","202006","OB","1",0
"STK","202006","OB","23",0
"STK","202006","IB","36",10636
"STK","202006","OB","36",18061
"STK","202006","IB","1",0
"STK","202006","IB","23",0
"STK","202007","OB","36",18645
"STK","202007","IB","1",0
"STK","202007","OB","1",0
"STK","202007","IB","23",0
"STK","202007","OB","23",0
"STK","202007","IB","36",12109
"STK","202008","IB","36",11053
"STK","202008","OB","1",0
"STK","202008","IB","1",0
"STK","202008","IB","23",0
"STK","202008","OB","23",0
"STK","202008","OB","36",17225
"STK","202009","OB","36",15203
"STK","202009","IB","36",10484
"STK","202009","OB","23",0
"STK","202009","IB","23",0
"STK","202009","OB","1",0
"STK","202009","IB","1",0
"STK","202010","OB","1",0
"STK","202010","IB","23",0
"STK","202010","OB","23",0
"STK","202010","IB","36",9236
"STK","202010","OB","36",11907
"STK","202010","IB","1",0
"STK","202011","OB","36",12823
"STK","202011","IB","36",9639
"STK","202011","OB","23",0
"STK","202011","IB","23",0
"STK","202011","OB","1",0
"STK","202011","IB","1",0
"STK","202012","IB","1",0
"STK","202012","OB","36",13092
"STK","202012","IB","36",9637
"STK","202012","OB","23",0
"STK","202012","IB","23",0
"STK","202012","OB","1",0
"STK","202101","IB","1",0
"STK","202101","OB","1",0
"STK","202101","IB","23",0
"STK","202101","OB","23",0
"STK","202101","IB","36",8866
"STK","202101","OB","36",12649
"STK","202102","OB","36",7205
"STK","202102","IB","36",4397
"STK","202102","OB","23",0
"STK","202102","IB","23",0
"STK","202102","IB","1",0
"STK","202102","OB","1",0
"STK","202103","IB","36",8557
"STK","202103","OB","23",0
"STK","202103","IB","23",0
"STK","202103","OB","1",0
"STK","202103","IB","1",0
"STK","202103","OB","36",13637
"STK","202104","IB","36",8015
"STK","202104","OB","36",12969
"STK","202104","IB","1",0
"STK","202104","OB","1",0
"STK","202104","IB","23",0
"STK","202104","OB","23",0
"STK","202105","IB","1",0
"STK","202105","OB","1",0
"STK","202105","IB","23",0
"STK","202105","OB","23",0
"STK","202105","IB","36",7401
"STK","202105","OB","36",13309
"STK","202106","IB","36",7386
"STK","202106","OB","36",14990
"STK","202106","OB","23",0
"STK","202106","IB","23",0
"STK","202106","OB","1",0
"STK","202106","IB","1",0
"STK","202107","OB","1",0
"STK","202107","IB","23",0
"STK","202107","OB","23",0
"STK","202107","IB","36",8092
"STK","202107","OB","36",14841
"STK","202107","IB","1",0
"STK","202108","OB","36",14928
"STK","202108","IB","36",8656
"STK","202108","OB","23",0
"STK","202108","IB","23",0
"STK","202108","OB","1",0
"STK","202108","IB","1",0
"STK","202109","OB","36",14209
"STK","202109","IB","36",8150
"STK","202109","OB","23",0
"STK","202109","IB","23",0
"STK","202109","OB","1",0
"STK","202109","IB","1",0
"STK","202110","IB","36",7229
"STK","202110","OB","23",0
"STK","202110","IB","23",0
"STK","202110","OB","1",0
"STK","202110","IB","1",0
"STK","202110","OB","36",11618
"STK","202111","IB","36",8665
"STK","202111","OB","23",0
"STK","202111","IB","23",0
"STK","202111","OB","1",0
"STK","202111","IB","1",0
"STK","202111","OB","36",14109
"STK","202112","IB","36",8979
"STK","202112","OB","23",0
"STK","202112","IB","23",0
"STK","202112","OB","1",0
"STK","202112","IB","1",0
"STK","202112","OB","36",14089
"STK","202201","IB","23",0
"STK","202201","IB","36",7819
"STK","202201","OB","36",13438
"STK","202201","OB","23",0
"STK","202201","OB","1",0
"STK","202201","IB","1",0
"STK","202202","OB","23",0
"STK","202202","OB","36",4774
"STK","202202","IB","36",2636
"STK","202202","IB","1",0
"STK","202202","OB","1",0
"STK","202202","IB","23",0
"STK","202203","IB","23",0
"STK","202203","OB","23",0
"STK","202203","IB","1",0
"STK","202203","OB","1",0
"STK","202203","IB","36",910
"STK","202203","OB","36",2083
"STK","202204","IB","36",4
"STK","202204","IB","1",0
"STK","202204","IB","23",0
"STK","202204","OB","1",0
"STK","202204","OB","23",0
"STK","202204","OB","36",1
"STK","202205","OB","36",1
"STK","202205","OB","23",0
"STK","202205","IB","36",1
"STK","202205","IB","1",0
"STK","202205","OB","1",0
"STK","202205","IB","23",0
"STK","202206","OB","36",0
"STK","202206","IB","36",0
"STK","202206","IB","23",0
"STK","202206","OB","1",0
"STK","202206","IB","1",0
"STK","202206","OB","23",0
"STK","202207","IB","1",0
"STK","202207","IB","36",0
"STK","202207","OB","23",0
"STK","202207","IB","23",0
"STK","202207","OB","1",0
"STK","202207","OB","36",0
"STK","202208","OB","36",0
"STK","202208","IB","36",0
"STK","202208","OB","23",0
"STK","202208","IB","23",0
"STK","202208","OB","1",0
"STK","202208","IB","1",0
"STK","202209","OB","36",0
"STK","202209","IB","36",0
"STK","202209","OB","23",0
"STK","202209","IB","23",0
"STK","202209","OB","1",0
"STK","202209","IB","1",0
"STK","202210","OB","23",0
"STK","202210","IB","36",0
"STK","202210","OB","36",0
"STK","202210","IB","23",0
"STK","202210","OB","1",0
"STK","202210","IB","1",0
"STK","202211","IB","36",0
"STK","202211","OB","36",0
"STK","202211","IB","1",0
"STK","202211","OB","1",0
"STK","202211","IB","23",0
"STK","202211","OB","23",0
"STK","202212","IB","1",0
"STK","202212","OB","1",0
"STK","202212","OB","36",0
"STK","202212","OB","23",0
"STK","202212","IB","36",0
"STK","202212","IB","23",0
"STK","202301","IB","1",0
"STK","202301","OB","1",0
"STK","202301","OB","36",0
"STK","202301","OB","23",0
"STK","202301","IB","36",0
"STK","202301","IB","23",0
"STK","202302","IB","1",0
"STK","202302","OB","1",0
"STK","202302","IB","23",0
"STK","202302","OB","23",0
"STK","202302","IB","36",0
"STK","202302","OB","36",0
"STK","202303","OB","23",0
"STK","202303","OB","36",0
"STK","202303","IB","23",0
"STK","202303","OB","1",0
"STK","202303","IB","1",0
"STK","202303","IB","36",0
"STK","202304","OB","1",0
"STK","202304","IB","23",0
"STK","202304","OB","23",0
"STK","202304","IB","36",0
"STK","202304","OB","36",0
"STK","202304","IB","1",0
"STK","202305","IB","36",0
"STK","202305","OB","36",0
"STK","202305","OB","23",0
"STK","202305","IB","23",0
"STK","202305","OB","1",0
"STK","202305","IB","1",0
"STK","202306","OB","36",0
"STK","202306","IB","36",0
"STK","202306","OB","23",0
"STK","202306","IB","23",0
"STK","202306","OB","1",0
"STK","202306","IB","1",0
"STK","202307","IB","1",0
"STK","202307","OB","1",0
"STK","202307","IB","23",0
"STK","202307","OB","23",0
"STK","202307","IB","36",0
"STK","202307","OB","36",0
"STK","202308","OB","36",0
"STK","202308","IB","36",0
"STK","202308","OB","23",0
"STK","202308","IB","23",0
"STK","202308","OB","1",0
"STK","202308","IB","1",0
"STK","202309","OB","1",0
"STK","202309","IB","1",0
"STK","202309","OB","36",0
"STK","202309","IB","36",0
"STK","202309","OB","23",0
"STK","202309","IB","23",0
"STK","202310","OB","36",0
"STK","202310","IB","36",0
"STK","202310","OB","23",0
"STK","202310","IB","23",0
"STK","202310","IB","1",0
"STK","202310","OB","1",0
"STK","202311","IB","1",0
"STK","202311","OB","1",0
"STK","202311","IB","23",0
"STK","202311","OB","23",0
"STK","202311","IB","36",0
"STK","202311","OB","36",0
"STK","202312","IB","1",0
"STK","202312","OB","1",0
"STK","202312","IB","23",0
"STK","202312","OB","23",0
"STK","202312","IB","36",0
"STK","202312","OB","36",0
"STK","202401","IB","36",0
"STK","202401","OB","23",0
"STK","202401","IB","23",0
"STK","202401","OB","1",0
"STK","202401","IB","1",0
"STK","202401","OB","36",0
"STK","202402","IB","1",0
