"年月","指数类别","组别类别","基数年","指数","权数"
"201403","CPIA","3","Index : October 2014 - September 2015 = 100",94.6,0.56
"201403","CPIA","4","Index : October 2014 - September 2015 = 100",97.1,1.83
"201403","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201403","CPIA","6","Index : October 2014 - September 2015 = 100",99.3,0.61
"201403","CPIA","7","Index : October 2014 - September 2015 = 100",99.9,0.27
"201403","CPIA","8","Index : October 2014 - September 2015 = 100",95.8,2.03
"201403","CPIA","9","Index : October 2014 - September 2015 = 100",95.5,0.05
"201403","CPIA","10","Index : October 2014 - September 2015 = 100",92.4,0.13
"201403","CPIA","11","Index : October 2014 - September 2015 = 100",99.6,0.89
"201403","CPIA","12","Index : October 2014 - September 2015 = 100",97.4,6.75
"201403","CPIA","99","Index : October 2014 - September 2015 = 100",95.4,100
"201404","CPIA","12","Index : October 2014 - September 2015 = 100",98.5,6.75
"201404","CPIA","99","Index : October 2014 - September 2015 = 100",95.9,100
"201404","CPIA","1","Index : October 2014 - September 2015 = 100",100,0.22
"201404","CPIA","2","Index : October 2014 - September 2015 = 100",112.4,0.15
"201404","CPIA","3","Index : October 2014 - September 2015 = 100",94.7,0.56
"201404","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
"201404","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201404","CPIA","6","Index : October 2014 - September 2015 = 100",99.5,0.61
"201404","CPIA","7","Index : October 2014 - September 2015 = 100",99.9,0.27
"201404","CPIA","8","Index : October 2014 - September 2015 = 100",98.7,2.03
"201404","CPIA","9","Index : October 2014 - September 2015 = 100",96.3,0.05
"201404","CPIA","10","Index : October 2014 - September 2015 = 100",92.3,0.13
"201404","CPIA","11","Index : October 2014 - September 2015 = 100",99.8,0.89
"201405","CPIA","1","Index : October 2014 - September 2015 = 100",100.4,0.22
"201405","CPIA","2","Index : October 2014 - September 2015 = 100",113.1,0.15
"201405","CPIA","3","Index : October 2014 - September 2015 = 100",94.8,0.56
"201405","CPIA","4","Index : October 2014 - September 2015 = 100",98,1.83
"201405","CPIA","5","Index : October 2014 - September 2015 = 100",97.1,0.01
"201405","CPIA","6","Index : October 2014 - September 2015 = 100",99.8,0.61
"201405","CPIA","7","Index : October 2014 - September 2015 = 100",99.9,0.27
"201405","CPIA","8","Index : October 2014 - September 2015 = 100",98.7,2.03
"201405","CPIA","9","Index : October 2014 - September 2015 = 100",96,0.05
"201405","CPIA","10","Index : October 2014 - September 2015 = 100",92.3,0.13
"201405","CPIA","11","Index : October 2014 - September 2015 = 100",100.2,0.89
"201405","CPIA","12","Index : October 2014 - September 2015 = 100",98.7,6.75
"201405","CPIA","99","Index : October 2014 - September 2015 = 100",95.8,100
"201406","CPIA","1","Index : October 2014 - September 2015 = 100",100.5,0.22
"201406","CPIA","2","Index : October 2014 - September 2015 = 100",114.1,0.15
"201406","CPIA","3","Index : October 2014 - September 2015 = 100",94.8,0.56
"201406","CPIA","4","Index : October 2014 - September 2015 = 100",98,1.83
"201406","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201406","CPIA","6","Index : October 2014 - September 2015 = 100",99.9,0.61
"201406","CPIA","7","Index : October 2014 - September 2015 = 100",99.9,0.27
"201406","CPIA","8","Index : October 2014 - September 2015 = 100",98.9,2.03
"201406","CPIA","9","Index : October 2014 - September 2015 = 100",96.3,0.05
"201406","CPIA","10","Index : October 2014 - September 2015 = 100",92.5,0.13
"201406","CPIA","11","Index : October 2014 - September 2015 = 100",101.6,0.89
"201406","CPIA","12","Index : October 2014 - September 2015 = 100",99,6.75
"201406","CPIA","99","Index : October 2014 - September 2015 = 100",95.9,100
"201407","CPIA","1","Index : October 2014 - September 2015 = 100",99.5,0.22
"201407","CPIA","2","Index : October 2014 - September 2015 = 100",114.3,0.15
"201407","CPIA","3","Index : October 2014 - September 2015 = 100",96.7,0.56
