"关卡","年月","行驶方向","车辆种类","车流量"
"SZB","202012","IB","1",172
"SZB","202101","OB","36",74296
"SZB","202101","IB","1",158
"SZB","202101","OB","1",274
"SZB","202101","IB","23",109
"SZB","202101","OB","23",32
"SZB","202101","IB","36",82568
"SZB","202102","OB","36",62878
"SZB","202102","IB","36",61018
"SZB","202102","IB","1",161
"SZB","202102","OB","1",231
"SZB","202102","IB","23",116
"SZB","202102","OB","23",105
"SZB","202103","IB","1",123
"SZB","202103","OB","36",112807
"SZB","202103","OB","1",300
"SZB","202103","IB","23",61
"SZB","202103","IB","36",98782
"SZB","202103","OB","23",26
"SZB","202104","IB","36",95818
"SZB","202104","IB","1",131
"SZB","202104","OB","1",277
"SZB","202104","IB","23",76
"SZB","202104","OB","23",25
"SZB","202104","OB","36",112512
"SZB","202105","IB","1",135
"SZB","202105","OB","1",252
"SZB","202105","IB","23",77
"SZB","202105","OB","23",62
"SZB","202105","OB","36",117890
"SZB","202105","IB","36",101080
"SZB","202106","OB","36",126129
"SZB","202106","IB","36",101781
"SZB","202106","OB","23",94
"SZB","202106","IB","23",106
"SZB","202106","OB","1",133
"SZB","202106","IB","1",80
"SZB","202107","OB","36",123358
"SZB","202107","IB","1",125
"SZB","202107","OB","1",183
"SZB","202107","IB","23",45
"SZB","202107","OB","23",91
"SZB","202107","IB","36",102222
"SZB","202108","IB","36",106664
"SZB","202108","OB","36",125988
"SZB","202108","OB","23",39
"SZB","202108","IB","23",59
"SZB","202108","OB","1",182
"SZB","202108","IB","1",188
"SZB","202109","IB","1",215
"SZB","202109","OB","1",261
"SZB","202109","IB","23",78
"SZB","202109","OB","23",33
"SZB","202109","IB","36",104749
"SZB","202109","OB","36",120845
"SZB","202110","IB","36",101433
"SZB","202110","OB","36",114710
"SZB","202110","IB","1",176
"SZB","202110","OB","1",191
"SZB","202110","IB","23",70
"SZB","202110","OB","23",45
"SZB","202111","IB","1",242
"SZB","202111","OB","1",275
"SZB","202111","IB","23",133
"SZB","202111","OB","23",99
"SZB","202111","IB","36",109408
"SZB","202111","OB","36",125059
"SZB","202112","IB","1",278
"SZB","202112","OB","1",305
"SZB","202112","IB","23",89
"SZB","202112","OB","23",53
"SZB","202112","IB","36",114639
"SZB","202112","OB","36",129763
"SZB","202201","IB","36",110617
"SZB","202201","IB","1",168
"SZB","202201","OB","1",199
"SZB","202201","IB","23",51
"SZB","202201","OB","23",17
"SZB","202201","OB","36",126212
"SZB","202202","IB","36",61655
"SZB","202202","OB","36",66494
"SZB","202202","OB","23",34
"SZB","202202","IB","23",43
"SZB","202202","OB","1",84
"SZB","202202","IB","1",85
"SZB","202203","OB","36",28473
"SZB","202203","IB","36",27677
"SZB","202203","OB","23",40
"SZB","202203","OB","1",61
"SZB","202203","IB","23",13
"SZB","202203","IB","1",45
"SZB","202204","IB","36",27975
"SZB","202204","IB","1",81
"SZB","202204","OB","1",73
"SZB","202204","IB","23",22
"SZB","202204","OB","23",114
"SZB","202204","OB","36",28083
"SZB","202205","IB","36",40922
"SZB","202205","OB","36",41079
"SZB","202205","OB","23",22
"SZB","202205","IB","23",34
"SZB","202205","OB","1",126
"SZB","202205","IB","1",131
"SZB","202206","OB","36",53035
"SZB","202206","IB","36",52935
"SZB","202206","OB","23",44
"SZB","202206","OB","1",153
"SZB","202206","IB","23",63
"SZB","202206","IB","1",169
"SZB","202207","IB","36",47017
"SZB","202207","OB","23",52
"SZB","202207","IB","23",75
"SZB","202207","OB","1",186
"SZB","202207","IB","1",114
"SZB","202207","OB","36",46860
"SZB","202208","IB","36",32114
"SZB","202208","OB","23",83
"SZB","202208","IB","23",67
"SZB","202208","OB","1",148
"SZB","202208","IB","1",119
"SZB","202208","OB","36",32649
"SZB","202209","IB","1",107
"SZB","202209","OB","1",145
"SZB","202209","IB","23",41
"SZB","202209","OB","23",25
"SZB","202209","IB","36",37434
"SZB","202209","OB","36",37523
"SZB","202210","IB","1",102
"SZB","202210","OB","1",130
"SZB","202210","IB","23",36
"SZB","202210","OB","23",26
"SZB","202210","IB","36",39957
"SZB","202210","OB","36",40159
"SZB","202211","IB","36",38903
"SZB","202211","OB","36",39036
"SZB","202211","IB","1",92
"SZB","202211","OB","1",125
"SZB","202211","IB","23",35
"SZB","202211","OB","23",17
"SZB","202212","IB","1",133
"SZB","202212","OB","1",183
"SZB","202212","OB","36",47717
"SZB","202212","OB","23",21
"SZB","202212","IB","36",48834
"SZB","202212","IB","23",33
"SZB","202301","IB","1",7312
"SZB","202301","OB","1",7603
"SZB","202301","IB","23",775
"SZB","202301","OB","23",908
"SZB","202301","OB","36",37444
"SZB","202301","IB","36",37040
"SZB","202302","IB","23",1968
"SZB","202302","OB","23",1917
"SZB","202302","IB","36",45520
"SZB","202302","OB","1",39042
"SZB","202302","OB","36",44609
"SZB","202302","IB","1",38533
"SZB","202303","IB","23",3480
"SZB","202303","IB","1",63571
"SZB","202303","OB","1",65328
"SZB","202303","OB","23",3543
"SZB","202303","IB","36",61158
"SZB","202303","OB","36",59828
"SZB","202304","OB","36",55462
"SZB","202304","IB","1",74114
"SZB","202304","OB","1",75595
"SZB","202304","IB","36",57714
"SZB","202304","OB","23",3323
"SZB","202304","IB","23",3202
"SZB","202305","IB","36",61311
"SZB","202305","OB","23",3138
"SZB","202305","IB","23",3081
"SZB","202305","OB","1",85097
"SZB","202305","IB","1",83271
"SZB","202305","OB","36",57946
"SZB","202306","IB","36",63111
"SZB","202306","OB","23",3137
"SZB","202306","IB","23",3146
"SZB","202306","OB","1",89916
"SZB","202306","IB","1",88209
"SZB","202306","OB","36",59481
"SZB","202307","IB","1",96081
"SZB","202307","OB","1",97974
"SZB","202307","IB","23",3261
"SZB","202307","OB","23",3204
"SZB","202307","IB","36",64850
