"年月","关口","抵港或离港","人次"
"201409","AIR","AV",1655736
"201409","LWT","AV",3417253
"201409","MFT","AV",610922
"201409","HHS","AV",174477
"201409","KTCT","AV",70469
"201409","LMC","AV",1233536
"201409","HHS","DB",170373
"201409","STK","DB",125263
"201409","MKT","DB",136577
"201409","LMCSL","AV",2303344
"201409","RTT","AV",20
"201409","HARB","AV",2801
"201409","LMC","DB",1010017
"201409","KTCT","DB",71075
"201409","LMCSL","DB",2356785
"201410","CFT","DB",406028
"201410","HHS","AV",185498
"201410","SZB","DB",1627813
"201410","HARB","AV",3050
"201410","KTCT","AV",65059
"201410","CFT","AV",320930
"201410","KTCT","DB",64187
"201410","HARB","DB",2478
"201410","RTT","AV",5
"201410","LMC","AV",1299555
"201410","TMFT","DB",0
"201410","STK","DB",134399
"201410","LWT","DB",3557799
"201410","TMFT","AV",0
"201410","AIR","DB",1712544
"201410","MFT","AV",617890
"201410","MKT","AV",230684
"201410","LMCSL","DB",2641261
"201410","STK","AV",140027
"201410","MFT","DB",764366
"201410","LMCSL","AV",2474693
"201410","AIR","AV",1930500
"201410","HHS","DB",193668
"201410","LWT","AV",3626762
"201410","SZB","AV",1582521
"201410","MKT","DB",146134
"201410","LMC","DB",1091549
"201410","RTT","DB",5
"201411","MFT","AV",623661
"201411","STK","DB",130887
"201411","LMCSL","DB",2813287
"201411","LMC","AV",1344836
"201411","RTT","DB",2
"201411","TMFT","DB",0
"201411","CFT","DB",411008
"201411","HARB","DB",1908
"201411","HHS","AV",181871
"201411","RTT","AV",0
"201411","TMFT","AV",0
"201411","AIR","AV",1782455
"201411","LWT","DB",3523644
"201411","HARB","AV",3475
"201411","LMC","DB",1073112
"201411","MKT","DB",148888
"201411","KTCT","DB",59124
"201411","AIR","DB",1703830
"201411","CFT","AV",313223
"201411","SZB","AV",1644105
"201411","HHS","DB",175603
"201411","STK","AV",139593
"201411","MFT","DB",809123
"201411","MKT","AV",240231
"201411","SZB","DB",1664867
"201411","LWT","AV",3645135
"201411","LMCSL","AV",2569336
"201411","KTCT","AV",58800
"201412","AIR","AV",1976417
"201412","MFT","DB",902310
"201412","MFT","AV",696283
"201412","MKT","AV",246020
"201412","MKT","DB",152778
"201412","STK","DB",139307
"201412","LMCSL","AV",2599749
"201412","SZB","DB",1727157
"201412","RTT","DB",3
"201412","CFT","DB",457223
"201412","LWT","AV",3780150
"201412","LMC","AV",1384701
"201412","LMC","DB",1120416
"201412","TMFT","DB",0
"201412","HHS","DB",193531
"201412","LMCSL","DB",2835446
"201412","AIR","DB",1927963
"201412","CFT","AV",356347
"201412","STK","AV",147860
"201412","KTCT","DB",56355
"201412","HHS","AV",194081
"201412","RTT","AV",4
"201412","TMFT","AV",0
"201412","SZB","AV",1703000
"201412","HARB","AV",2440
"201412","HARB","DB",2001
"201412","LWT","DB",3729897
"201412","KTCT","AV",54301
"201501","STK","DB",135005
"201501","SZB","DB",1721231
"201501","RTT","DB",1
"201501","LWT","AV",3768814
"201501","HHS","AV",184138
"201501","SZB","AV",1739294
"201501","CFT","DB",399143
"201501","MFT","AV",609563
"201501","STK","AV",149119
"201501","CFT","AV",325062
"201501","HHS","DB",178548
"201501","MKT","AV",266810
"201501","MFT","DB",750533
"201501","TMFT","DB",0
"201501","LMCSL","DB",2919591
"201501","AIR","AV",1758571
"201501","HARB","AV",2970
"201501","LWT","DB",3617625
"201501","HARB","DB",1439
"201501","LMC","DB",1093860
"201501","MKT","DB",167782
"201501","LMC","AV",1318352
"201501","RTT","AV",9
"201501","AIR","DB",1676810
"201501","LMCSL","AV",2669246
"201501","KTCT","DB",60300
